38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak Menurut Provinsi dan Klasifikasi Desa (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2018,2018,2018
ACEH,85.03,58.04,66.48
SUMATERA UTARA,82.42,60.38,71.95
SUMATERA BARAT,82.78,59.07,69.53
RIAU,89.96,72.73,79.68
JAMBI,84.94,58.35,66.66
SUMATERA SELATAN,80.11,57.06,65.31
BENGKULU,67.04,41.02,49.37
LAMPUNG,72.08,50.85,56.78
KEP. BANGKA BELITUNG,75.15,57.31,66.83
KEP. RIAU,87.55,58.84,83.56
DKI JAKARTA,89.59,-,89.59
JAWA BARAT,75.86,58.35,71.06
JAWA TENGAH,81.4,74.83,78.16
DI YOGYAKARTA,78.25,87.25,80.62
JAWA TIMUR,79.74,70.27,75.2
BANTEN,81.85,50.15,72.83
BALI,94.8,82.98,90.9
NUSA TENGGARA BARAT,82.2,66.25,73.61
NUSA TENGGARA TIMUR,90.28,66.87,72.41
KALIMANTAN BARAT,90.49,64.27,72.88
KALIMANTAN TENGAH,85.71,53.09,65.38
KALIMANTAN SELATAN,82.81,45.23,62.67
KALIMANTAN TIMUR,92.29,59,81.26
KALIMANTAN UTARA,96.99,75.57,88.3
SULAWESI UTARA,84.61,67.74,76.2
SULAWESI TENGAH,85.6,65.4,71.13
SULAWESI SELATAN,90.38,69.51,77.93
SULAWESI TENGGARA,91.54,74.44,80.95
GORONTALO,88.52,72.8,78.99
SULAWESI BARAT,81.65,57.31,62.98
MALUKU,88.64,67.23,76.47
MALUKU UTARA,92.35,59.38,69.17
PAPUA BARAT,92.64,66.78,77.12
PAPUA BARAT DAYA,-,-,-
PAPUA,86.11,48.75,58.35
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,81.55,64.18,73.68
