38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak Menurut Provinsi dan Klasifikasi Desa (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2010,2010,2010
ACEH,24.74,30.68,29.02
SUMATERA UTARA,52.11,40.34,46.06
SUMATERA BARAT,47.94,38.17,41.92
RIAU,29.05,46.96,40.01
JAMBI,54.14,45.78,48.28
SUMATERA SELATAN,50.65,43.55,45.99
BENGKULU,37.02,24.37,28.23
LAMPUNG,34.02,39.36,38.07
KEP. BANGKA BELITUNG,36.13,40.22,38.17
KEP. RIAU,21.69,34.72,23.82
DKI JAKARTA,28.41,-,28.41
JAWA BARAT,34.35,37.04,35.32
JAWA TENGAH,58.63,56.49,57.44
DI YOGYAKARTA,54.5,73.12,60.41
JAWA TIMUR,47.95,57.26,52.94
BANTEN,22.19,22.61,22.32
BALI,37.77,65.47,48.44
NUSA TENGGARA BARAT,50.44,43.15,46.2
NUSA TENGGARA TIMUR,69.43,44.43,49.29
KALIMANTAN BARAT,67.54,48.98,54.47
KALIMANTAN TENGAH,48.71,36.4,40.55
KALIMANTAN SELATAN,67.18,35.94,48.97
KALIMANTAN TIMUR,45.35,39.83,43.27
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,44.74,44.13,44.41
SULAWESI TENGAH,38.3,34.07,35.1
SULAWESI SELATAN,49.04,42.92,45.12
SULAWESI TENGGARA,51.34,50.5,50.74
GORONTALO,47.1,36.4,40.09
SULAWESI BARAT,55.96,32.12,37.44
MALUKU,65.56,51.47,56.95
MALUKU UTARA,68.75,48.57,54.18
PAPUA BARAT,40.69,49.02,45.26
PAPUA BARAT DAYA,-,-,-
PAPUA,43.63,28.59,32.42
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,42.51,45.85,44.19
