38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak Menurut Provinsi dan Klasifikasi Desa (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2020,2020,2020
ACEH,96.51,83.42,87.66
SUMATERA UTARA,95.75,82.57,89.68
SUMATERA BARAT,93.01,74.91,83.37
RIAU,95.78,83.24,88.25
JAMBI,94.59,71.77,78.86
SUMATERA SELATAN,91.14,75.09,80.78
BENGKULU,75.31,56.14,62.47
LAMPUNG,86.98,70.03,74.97
KEP. BANGKA BELITUNG,82.3,66.2,75.06
KEP. RIAU,93.94,58.61,90.41
DKI JAKARTA,99.84,-,99.84
JAWA BARAT,95.99,85.62,93.42
JAWA TENGAH,96.93,91.12,94.07
DI YOGYAKARTA,96.76,93.81,96.02
JAWA TIMUR,98,92.79,95.56
BANTEN,97.9,79.79,92.87
BALI,99.15,93.25,97.36
NUSA TENGGARA BARAT,97.56,91.01,94.13
NUSA TENGGARA TIMUR,93.43,80.73,83.87
KALIMANTAN BARAT,91.3,72.27,78.83
KALIMANTAN TENGAH,90.76,64.19,74.91
KALIMANTAN SELATAN,84.34,58.05,70.36
KALIMANTAN TIMUR,93.34,69.25,85.51
KALIMANTAN UTARA,96.95,78,89.5
SULAWESI UTARA,94.56,85.5,90.31
SULAWESI TENGAH,97.01,79.49,84.6
SULAWESI SELATAN,96.82,86.46,90.84
SULAWESI TENGGARA,96.89,89.7,92.49
GORONTALO,97.94,91.3,94.16
SULAWESI BARAT,89.7,67.71,72.75
MALUKU,97.13,87.05,91.68
MALUKU UTARA,97.36,82.34,86.9
PAPUA BARAT,90,72.3,79.56
PAPUA BARAT DAYA,-,-,-
PAPUA,91.32,52.21,62.73
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,96.08,82.74,90.21
