38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak Menurut Provinsi dan Klasifikasi Desa (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2015,2015,2015
ACEH,81.71,53.27,61.23
SUMATERA UTARA,85.81,57.66,71.41
SUMATERA BARAT,83.32,55.66,66.58
RIAU,85.83,66.86,74.24
JAMBI,83.87,54.16,62.75
SUMATERA SELATAN,81.28,56.8,65.16
BENGKULU,66.83,30.06,41.08
LAMPUNG,72.13,49.55,55.06
KEP. BANGKA BELITUNG,77.5,59.15,68.03
KEP. RIAU,89.54,55.88,84.12
DKI JAKARTA,93.4,-,93.4
JAWA BARAT,74.52,53.2,67.2
JAWA TENGAH,79.29,68.94,73.63
DI YOGYAKARTA,79.27,84.7,80.99
JAWA TIMUR,82.32,71.55,76.64
BANTEN,78.72,43.75,67.68
BALI,94.51,86.01,91.27
NUSA TENGGARA BARAT,78.22,67.07,71.7
NUSA TENGGARA TIMUR,83.1,57.46,62.72
KALIMANTAN BARAT,89.5,59.56,68.39
KALIMANTAN TENGAH,80.44,45.1,57.01
KALIMANTAN SELATAN,83.07,46.77,62.23
KALIMANTAN TIMUR,90.63,57.11,78.13
KALIMANTAN UTARA,95,71.92,84.59
SULAWESI UTARA,79.43,64.79,71.53
SULAWESI TENGAH,82.37,54.89,61.49
SULAWESI SELATAN,90.65,61.48,72.07
SULAWESI TENGGARA,88.13,72.76,77.19
GORONTALO,79.32,59.68,66.47
SULAWESI BARAT,83.62,46.95,53.89
MALUKU,78.93,55.7,64.96
MALUKU UTARA,87.5,49.69,60.07
PAPUA BARAT,87.24,58.17,68.85
PAPUA BARAT DAYA,-,-,-
PAPUA,86.78,39.67,51.27
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,81.3,60.58,70.97
