38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak Menurut Provinsi dan Klasifikasi Desa (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2017,2017,2017
ACEH,85.91,55.91,64.85
SUMATERA UTARA,83.01,56.71,70.07
SUMATERA BARAT,83.09,58.7,68.83
RIAU,85.65,68.3,75.12
JAMBI,84.58,57.54,65.73
SUMATERA SELATAN,81.89,54.48,64.02
BENGKULU,68.43,32.1,43.83
LAMPUNG,71.2,47.71,53.79
KEP. BANGKA BELITUNG,74.95,60.66,68.14
KEP. RIAU,87.88,61.19,83.95
DKI JAKARTA,88.93,-,88.93
JAWA BARAT,76.26,56.7,70.5
JAWA TENGAH,79.85,72.53,76.09
DI YOGYAKARTA,77.54,76.29,77.19
JAWA TIMUR,80.22,70.7,75.54
BANTEN,74.95,44.76,66.11
BALI,93.92,85.15,90.85
NUSA TENGGARA BARAT,76.33,65.84,70.48
NUSA TENGGARA TIMUR,83.21,60.16,65.2
KALIMANTAN BARAT,86.95,60.59,68.77
KALIMANTAN TENGAH,86.65,51.34,63.9
KALIMANTAN SELATAN,83.74,42.62,60.62
KALIMANTAN TIMUR,92.92,62.86,82.75
KALIMANTAN UTARA,93.08,70.3,83.78
SULAWESI UTARA,84.93,62.7,73.29
SULAWESI TENGAH,87.81,59.9,67.1
SULAWESI SELATAN,90.82,67.24,76.34
SULAWESI TENGGARA,89.43,75.26,79.83
GORONTALO,85.13,68.99,75
SULAWESI BARAT,81.31,55.61,60.66
MALUKU,82.99,57.48,68.34
MALUKU UTARA,87.18,57.18,65.73
PAPUA BARAT,91.07,61.93,73.12
PAPUA BARAT DAYA,-,-,-
PAPUA,85.33,49.86,59.09
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,80.82,62.1,72.04
