38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak Menurut Provinsi dan Klasifikasi Desa (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2016,2016,2016
ACEH,83.08,55.34,63.31
SUMATERA UTARA,85.04,56.17,70.61
SUMATERA BARAT,83.21,56.38,67.33
RIAU,89.77,66.47,75.49
JAMBI,82.62,55.02,63.23
SUMATERA SELATAN,81.67,54.33,63.77
BENGKULU,55.34,29.26,37.35
LAMPUNG,72.83,45.56,52.41
KEP. BANGKA BELITUNG,72.03,55.83,63.95
KEP. RIAU,90.39,56.41,85.31
DKI JAKARTA,92.44,-,92.44
JAWA BARAT,73.85,54.65,67.62
JAWA TENGAH,80.8,72.46,76.3
DI YOGYAKARTA,80.37,82.61,81.04
JAWA TIMUR,80.7,71.26,75.83
BANTEN,78.72,41.95,67.47
BALI,93.41,80.36,88.71
NUSA TENGGARA BARAT,80.26,69.26,73.98
NUSA TENGGARA TIMUR,80.95,54.68,60.04
KALIMANTAN BARAT,86.38,57.35,66.19
KALIMANTAN TENGAH,85.62,48.2,61.26
KALIMANTAN SELATAN,79.4,42.86,58.63
KALIMANTAN TIMUR,92.41,54.8,78.93
KALIMANTAN UTARA,93.66,67.71,82.69
SULAWESI UTARA,83.53,58.52,70.22
SULAWESI TENGAH,86.18,54,62.15
SULAWESI SELATAN,90.65,63.27,73.42
SULAWESI TENGGARA,85.13,71.78,75.82
GORONTALO,82.85,65.13,71.59
SULAWESI BARAT,83.18,53.17,58.99
MALUKU,84.05,55.13,67.2
MALUKU UTARA,87.71,53.46,62.99
PAPUA BARAT,86.85,57.35,68.76
PAPUA BARAT DAYA,-,-,-
PAPUA,86.31,41.84,52.69
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,81.05,60.72,71.14
