38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak Menurut Provinsi dan Klasifikasi Desa (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2014,2014,2014
ACEH,81.05,49.91,58.74
SUMATERA UTARA,83.23,51.66,66.86
SUMATERA BARAT,80.03,51.52,62.6
RIAU,86.03,63.88,72.55
JAMBI,86.68,51.8,62.01
SUMATERA SELATAN,79.81,50.85,60.75
BENGKULU,60.42,27.14,37.47
LAMPUNG,67.63,44.19,49.92
KEP. BANGKA BELITUNG,75.4,51.66,63.2
KEP. RIAU,88.05,41.79,81.04
DKI JAKARTA,92.1,-,92.1
JAWA BARAT,73.68,49.22,65.01
JAWA TENGAH,77.33,65.97,71.11
DI YOGYAKARTA,79.91,71.62,77.28
JAWA TIMUR,82.33,69.69,75.64
BANTEN,77.8,41.95,66.6
BALI,93.42,81.92,89.09
NUSA TENGGARA BARAT,74.37,57.03,64.33
NUSA TENGGARA TIMUR,83.13,47.99,54.88
KALIMANTAN BARAT,84.01,54.49,63.04
KALIMANTAN TENGAH,79.09,44.37,56.05
KALIMANTAN SELATAN,82.03,46.76,61.72
KALIMANTAN TIMUR,92.19,56.49,78.48
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,85.82,55.32,69.32
SULAWESI TENGAH,81.85,51.89,58.99
SULAWESI SELATAN,88.74,57.43,68.89
SULAWESI TENGGARA,83.48,63.03,68.74
GORONTALO,77.36,55.87,63.3
SULAWESI BARAT,77.8,38.46,47.07
MALUKU,77.75,49.65,60.77
MALUKU UTARA,88.97,44.2,57.03
PAPUA BARAT,88.29,57.29,66.87
PAPUA BARAT DAYA,-,-,-
PAPUA,86.37,36.99,48.99
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,80.27,56.57,68.38
