38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak Menurut Provinsi dan Klasifikasi Desa (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2025,2025,2025
ACEH,95.57,90.11,92.06
SUMATERA UTARA,96.22,89.17,93.24
SUMATERA BARAT,93.01,81.01,87.26
RIAU,96.35,89.42,92.17
JAMBI,92.2,77.76,82.46
SUMATERA SELATAN,92.14,83.74,86.82
BENGKULU,78.21,66.58,70.47
LAMPUNG,91.26,82.14,85.13
KEP. BANGKA BELITUNG,86.7,78.93,83.54
KEP. RIAU,95.99,76.65,94.6
DKI JAKARTA,99.98,-,99.98
JAWA BARAT,97.37,90.01,95.84
JAWA TENGAH,97.94,93.27,95.73
DI YOGYAKARTA,98.44,93.61,97.33
JAWA TIMUR,98.6,95.63,97.3
BANTEN,98.7,83.64,96.03
BALI,99.41,96.86,98.75
NUSA TENGGARA BARAT,97.47,94.99,96.29
NUSA TENGGARA TIMUR,97.13,87.05,89.86
KALIMANTAN BARAT,92.18,79.47,84.32
KALIMANTAN TENGAH,92.14,71.36,80.58
KALIMANTAN SELATAN,89.64,66.77,78.27
KALIMANTAN TIMUR,94.23,75.49,88.45
KALIMANTAN UTARA,98,80.52,91.59
SULAWESI UTARA,96.29,92.98,94.86
SULAWESI TENGAH,93.16,84.69,87.55
SULAWESI SELATAN,96.87,89.93,93.25
SULAWESI TENGGARA,98.2,92.8,94.91
GORONTALO,98.89,93.27,95.95
SULAWESI BARAT,95.09,80.06,83
MALUKU,95.95,90.02,92.83
MALUKU UTARA,96.94,86.99,90.01
PAPUA BARAT,92.55,78.72,82.95
PAPUA BARAT DAYA,89.3,69.34,80.64
PAPUA,94.43,77.67,87.7
PAPUA SELATAN,83.03,64.28,71.28
PAPUA TENGAH,96.29,79.41,83.21
PAPUA PEGUNUNGAN,88.47,27.56,32.89
INDONESIA,97.02,87.7,93.22
