38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak Menurut Provinsi dan Klasifikasi Desa (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2013,2013,2013
ACEH,84.75,51.42,60.76
SUMATERA UTARA,82.86,53.96,68
SUMATERA BARAT,78,55.72,64.34
RIAU,85.51,65.45,73.17
JAMBI,82.09,53.26,61.73
SUMATERA SELATAN,78.09,52.42,61.18
BENGKULU,62.21,29.45,39.3
LAMPUNG,68.94,48.35,53.37
KEP. BANGKA BELITUNG,76.34,55.72,65.72
KEP. RIAU,85.8,36.49,77.9
DKI JAKARTA,92.64,-,92.64
JAWA BARAT,71.56,48.72,63.5
JAWA TENGAH,75.81,64.47,69.58
DI YOGYAKARTA,82.76,70.23,78.81
JAWA TIMUR,81.74,69.44,75.19
BANTEN,77.27,40.36,65.57
BALI,93.99,79.91,88.59
NUSA TENGGARA BARAT,71.82,50.73,59.45
NUSA TENGGARA TIMUR,82.93,48.11,54.85
KALIMANTAN BARAT,85.57,56.19,64.7
KALIMANTAN TENGAH,75.1,43.59,54.1
KALIMANTAN SELATAN,80.96,47.44,61.59
KALIMANTAN TIMUR,93.08,55.57,78.93
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,84.41,58.19,70.06
SULAWESI TENGAH,82.28,53.16,60.21
SULAWESI SELATAN,86.65,55.91,66.95
SULAWESI TENGGARA,86.74,62.76,69.43
GORONTALO,68.91,50.68,56.8
SULAWESI BARAT,76.28,39.24,47.27
MALUKU,72.53,49.68,58.49
MALUKU UTARA,86.44,45.64,57.19
PAPUA BARAT,87.4,58.26,67.03
PAPUA BARAT DAYA,-,-,-
PAPUA,83.67,36.43,47.7
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,79.3,56.68,67.93
