38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak Menurut Provinsi dan Klasifikasi Desa (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2019,2019,2019
ACEH,95.2,81.27,85.81
SUMATERA UTARA,96,83.51,90.22
SUMATERA BARAT,92.18,72.06,81.44
RIAU,95.61,81.8,87.42
JAMBI,89.78,70.9,76.92
SUMATERA SELATAN,90.89,74.63,80.37
BENGKULU,73.42,49.81,57.6
LAMPUNG,81.91,69.7,73.3
KEP. BANGKA BELITUNG,81.09,63.97,73.45
KEP. RIAU,91.75,60.03,88.51
DKI JAKARTA,99.82,-,99.82
JAWA BARAT,95.62,82.28,92.3
JAWA TENGAH,96.68,90.9,93.82
DI YOGYAKARTA,96.85,89.16,94.94
JAWA TIMUR,97.2,91.18,94.39
BANTEN,98.4,73.96,91.64
BALI,99.19,91.55,96.84
NUSA TENGGARA BARAT,96.86,91.27,93.93
NUSA TENGGARA TIMUR,97.16,77.63,82.35
KALIMANTAN BARAT,91.38,69.42,77.07
KALIMANTAN TENGAH,88.07,63.76,73.27
KALIMANTAN SELATAN,84.14,56.25,69.45
KALIMANTAN TIMUR,93.13,63.44,83.54
KALIMANTAN UTARA,96.26,74.24,87.9
SULAWESI UTARA,93.61,87.75,90.81
SULAWESI TENGAH,95.06,78.54,83.42
SULAWESI SELATAN,96.21,84.31,89.38
SULAWESI TENGGARA,96.41,85.49,89.66
GORONTALO,96.61,92.37,94.19
SULAWESI BARAT,91.61,65.47,71.5
MALUKU,95.41,87.1,90.83
MALUKU UTARA,98.83,79.26,85.04
PAPUA BARAT,93.23,73.88,81.85
PAPUA BARAT DAYA,-,-,-
PAPUA,91.66,49.65,60.85
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,95.63,81.15,89.27
