38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki Akses terhadap Sumber Air Minum Layak Menurut Provinsi dan Klasifikasi Desa (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2012,2012,2012
ACEH,80.64,46.59,56.05
SUMATERA UTARA,82.3,50.62,66.06
SUMATERA BARAT,79.56,50.31,61.59
RIAU,85.07,61.2,70.44
JAMBI,84.47,53.23,62.47
SUMATERA SELATAN,73.88,46.74,56.02
BENGKULU,62.94,27.71,38.45
LAMPUNG,66.21,42.93,48.59
KEP. BANGKA BELITUNG,76.23,53.53,64.74
KEP. RIAU,84.32,41.24,77.1
DKI JAKARTA,92.77,-,92.77
JAWA BARAT,68.09,46.32,60.31
JAWA TENGAH,72.96,62.42,67.14
DI YOGYAKARTA,78.7,74.12,77.25
JAWA TIMUR,78.41,63.28,70.33
BANTEN,74.42,37.15,62.51
BALI,91.08,85.43,88.87
NUSA TENGGARA BARAT,66.08,50.74,57.01
NUSA TENGGARA TIMUR,81.88,47.75,54.37
KALIMANTAN BARAT,88.1,49.5,60.7
KALIMANTAN TENGAH,78.84,39.22,52.28
KALIMANTAN SELATAN,81.42,41.76,58.33
KALIMANTAN TIMUR,91.64,50.04,75.61
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,81.53,50.89,64.93
SULAWESI TENGAH,80.82,48.8,56.36
SULAWESI SELATAN,86.3,54.38,65.94
SULAWESI TENGGARA,81.14,57.47,63.94
GORONTALO,71.72,45.79,54.62
SULAWESI BARAT,75.43,36.69,45.14
MALUKU,68.38,49.21,56.53
MALUKU UTARA,82.11,42.98,53.8
PAPUA BARAT,82.89,56.45,64.33
PAPUA BARAT DAYA,-,-,-
PAPUA,80.66,27.44,40.43
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,76.87,53.12,64.87
